molecule_id,baseline,distribution_half_life,elimination_half_life,r_squared,message
LIB002,1.311,0.015028694110612856,0.31802594450056265,0.973539353563339,no-convergence
LIB077,1.012,0.013787647851729909,0.3861295555732685,0.9578367240530301,no-convergence
LIB101,1.476,0.01456984097844356,0.40001838029392667,0.9849324573522324,no-convergence
LIB027,0.862,0.015120569651610774,0.8142525695041447,0.9298470993958144,no-convergence
LIB052,1.729,0.18005152443254535,1.2342264293731107,0.9746628416497828,converged
LIB001,1.017,0.22263979376506995,1.2535874296638774,0.9681005149164378,converged
CTRL_short,1.129,0.20633973569005992,1.5415296537861267,0.9631875894971852,converged
LIB102,1.293,0.22256033589822813,2.042452027683929,0.9730258420358908,converged
LIB006,1.434,0.3303561451780331,2.1153427575128925,0.9880723058993347,converged
LIB051,1.547,0.511321163445133,2.1253931868985596,0.9290954618480122,singular-convergence
LIB057,1.207,0.2505370158164304,2.2984892677148934,0.9448459842413734,converged
LIB007,1.243,0.20066618707438835,2.4237650481701905,0.9718996917051101,converged
LIB107,1.197,0.27558397119265027,2.7624534344560163,0.9784033642804327,converged
LIB056,1.075,0.35309645289670105,2.948720170560305,0.9869137810674172,converged
LIB082,0.942,0.35888099566889065,3.006974243939596,0.9759763095843504,converged
LIB032,1.104,0.26106434186724464,3.180395314222813,0.9241697423038339,converged
LIB026,0.841,0.33983607576373986,3.450048241986599,0.9590062728730456,converged
LIB081,1.287,0.27342991041057446,3.6499582743781476,0.9717228408455773,converged
LIB031,1.123,0.16746270617993836,4.551425397080956,0.9833432162670601,converged
LIB086,0.973,0.2494276137764828,6.19962921982795,0.9580445931810814,converged
LIB087,1.552,0.21193941902649235,6.432697134550581,0.9840002102633029,converged
LIB061,0.937,0.33085738841651036,6.449671350954614,0.9752246369852952,converged
LIB037,0.984,0.22875226958356337,6.532313997327462,0.9826490612642566,converged
LIB053,1.784,0.20495869242228193,6.698491274936094,0.9813453392109748,converged
LIB011,2.07,0.20937603678812766,7.4483327132627535,0.9864319574044614,converged
LIB111,1.31,0.1877424459527337,7.51789472053215,0.9800695720472582,converged
LIB062,1.562,0.29507616841064216,7.990267141856295,0.9813896248036452,converged
LIB112,1.16,0.39583145887152243,8.1137602157704,0.9242317594701035,converged
LIB036,1.1,0.3058153235070284,8.647736683247249,0.9718556519356673,converged
LIB103,1.195,0.21905076301136808,9.2631282371606,0.9553443294309478,converged
LIB003,1.471,0.19351931376745057,9.825655961801528,0.9646090159380485,converged
LIB083,1.196,0.18455220691349433,10.358328490762865,0.9166352130462524,converged
LIB012,1.245,0.5178665033387208,10.752295915660387,0.9540479887865154,converged
LIB008,1.203,0.13613188137626284,10.981448766700879,0.9581910206908366,converged
LIB028,0.834,0.24627531916710302,11.155170931511242,0.9597153777251836,converged
LIB078,0.775,0.21785953032189706,11.179875457735365,0.9765630228733237,converged
LIB033,1.582,0.1997266645213998,11.491585720128167,0.926719512440576,converged
LIB091,1.038,0.16867525929845126,11.525683213117198,0.9689584310927166,converged
LIB029,1.116,0.2267839101351507,11.921877848532013,0.9563784191464101,converged
LIB117,1.211,0.2240865636217781,12.29907012153299,0.9777287508341028,converged
LIB016,1.292,0.2224250693682238,12.321063468036698,0.9649539267985852,converged
LIB054,1.635,0.2266344842322553,12.698581788646562,0.9760886305232007,converged
LIB058,1.551,0.28834814194156916,12.701765644453616,0.9902821906570511,converged
LIB055,1.293,0.20636426627534196,12.760298700924052,0.9761722307630037,converged
LIB063,1.168,0.1883429104012502,12.998680700685885,0.9656812151154568,converged
LIB067,1.263,0.21070412175874817,13.057184316147106,0.95112333606435,converged
LIB017,1.392,0.2802988089616254,13.188481493534896,0.977042364094415,converged
LIB085,1.208,0.15710224786562935,13.219524227821411,0.9681022199821313,converged
CTRL_medium,0.995,0.3282364364624557,13.353629398232528,0.9415649019377463,converged
LIB108,1.34,0.3279128146681372,13.451260639719502,0.9630841468502542,converged
LIB092,1.524,0.20326562933126754,13.597538189255022,0.9784920181405413,converged
LIB059,1.807,0.2498727715462321,13.75066487109152,0.9703693489504277,converged
LIB116,1.274,0.24025518609601304,13.921250838940939,0.960671278697352,converged
LIB104,1.324,0.24327428710375887,14.019578531180803,0.8971807834935795,converged
LIB042,1.353,0.1927288261264433,14.18865664241012,0.932445183829486,converged
LIB004,1.127,0.27028339833048143,14.250184027186625,0.9406757760319199,converged
LIB066,0.99,0.2766641825664147,14.370485656334901,0.9301484867393303,converged
LIB105,1.103,0.2705206731355449,14.536167773342777,0.9686747747403711,converged
LIB088,1.439,0.27311127711629796,14.536938012977803,0.9475146111734266,converged
LIB079,1.228,0.29936274185317113,14.675757271916291,0.9753683376349209,converged
LIB080,1.227,0.23809366052064454,14.800426368945333,0.9721194294885541,converged
LIB113,1.126,0.2668552521992971,14.881762402728295,0.958595585277341,converged
LIB110,0.991,0.22207793565286146,15.317495505916202,0.9489149898642593,converged
LIB121,1.222,0.2581475615657762,15.417131432828715,0.9598232070458655,converged
LIB084,1.884,0.3366957470639089,15.721085293687869,0.9673239950317177,converged
LIB060,1.353,0.1883938961167024,15.762221132938622,0.9684377230291221,converged
LIB005,1.307,0.30260438641686704,15.771032145390482,0.94929894390644,converged
LIB030,1.063,0.2296201914453465,15.77811350757748,0.9727309550877848,converged
LIB013,1.016,0.34138450930594627,15.93568104955619,0.9222399837186319,converged
LIB097,1.502,0.1531486751662329,15.95948450600578,0.9712649969222403,converged
LIB034,1.307,0.43476068182423,16.00552570860902,0.9372524777042271,converged
LIB022,0.928,0.20277313930502322,16.592211744268347,0.966422111612277,converged
LIB035,1.231,0.20756102769168236,16.667833421141165,0.9608360619775891,converged
LIB009,0.995,0.32602360009815085,16.73719945041049,0.9511411551902395,converged
LIB039,1.314,0.18347028240991628,16.870292603858655,0.9565232832607513,converged
LIB010,1.244,0.4293322116254566,16.87955571905472,0.9553210375452859,converged
LIB038,1.211,0.44364316425566475,16.905986373529124,0.9445090407981277,converged
LIB096,1.179,0.2926204166006981,16.974912690835325,0.8657571888025051,converged
LIB041,1.481,0.35286718898620284,17.035780231346003,0.9617517555667487,converged
LIB064,1.416,0.20752668164503735,17.122478256589332,0.9705100185956286,converged
LIB122,1.141,0.13833632683153047,17.674184711224836,0.972358955682331,converged
LIB021,1.153,0.16844220509938385,18.044257235271626,0.9439753965190337,converged
LIB043,1.833,0.2184684855132629,18.206446285571502,0.8991570822451815,converged
LIB071,1.374,0.37951775764315954,18.29437694194972,0.9521331032080395,converged
LIB109,1.378,0.31503059019752055,18.527657390881863,0.9584369913423986,converged
LIB047,1.329,0.29081859072735794,18.590137556396662,0.9482864985894749,converged
LIB114,1.216,0.33030309827262316,18.651878057311535,0.9373369507908843,converged
LIB046,1.105,0.23236391020298308,18.747964959626245,0.9638198213404533,converged
LIB115,1.392,0.1602048748543644,19.17116908264242,0.9390857134256585,converged
LIB065,0.93,0.2682649575411683,19.598086211277842,0.9321535275992419,converged
LIB015,1.093,0.22311956709154965,19.689293522793275,0.9507491823410373,converged
LIB072,0.989,0.2827275658226833,19.77862444358933,0.9700697617867367,converged
LIB018,1.106,0.3443085808613869,21.30376182588237,0.9373033379797165,converged
LIB118,1.424,0.352803127096676,21.62648518259324,0.923094173474739,converged
LIB089,1.241,0.24623024170715893,21.81249698992968,0.9565964148901613,converged
LIB014,1.259,0.38456206661177245,21.83759005838396,0.9636735537045766,converged
LIB040,1.493,0.3342243273005766,22.364130326918836,0.9480361655303368,converged
LIB090,0.714,0.21112943211963323,22.666963548691843,0.9439659565724068,converged
LIB070,1.512,0.1970214533436425,23.875205922874,0.9539674619828843,converged
LIB095,1.328,0.22947435852297923,24.385532056203488,0.923758813728493,converged
LIB025,1.429,0.23814595603794259,24.507694355095175,0.9743508747684944,converged
LIB093,1.295,0.264426904460718,25.22925224854996,0.9443444195652052,converged
LIB068,1.034,0.3330374058683751,25.70510808970151,0.957325714396457,converged
LIB044,1.093,0.35207022755704387,25.77703629791686,0.9343574471330995,converged
LIB073,1.074,0.2632405906070508,26.09663924873359,0.9350484580803577,converged
LIB048,1.185,0.19246606888450427,27.209822399409457,0.9341613482106912,converged
LIB069,1.179,0.2313189652348075,27.445800901575492,0.9636424068282826,converged
LIB120,1.383,0.17722186248483465,27.56200424288339,0.9381402925625925,converged
LIB020,0.904,0.18310500300859286,27.56560762714969,0.9460209816392475,converged
LIB045,1.255,0.2800953122317648,27.759180098021382,0.9237764937697522,converged
LIB119,1.668,0.18946392426288267,28.32150164759724,0.944664949465929,converged
LIB024,1.433,0.1822163272052629,29.102102849550434,0.9617984984180732,converged
LIB094,1.488,0.36135014981636643,29.13869138815922,0.9499856543248066,converged
LIB098,1.484,0.3305868610373903,29.201578593499132,0.9619334704901631,converged
LIB023,0.894,0.23631128236915477,29.807836884380073,0.9605436181607985,converged
LIB075,1.533,0.12971905213358165,29.942802525488787,0.9292356013301312,converged
LIB074,1.472,0.20471036347910573,30.828115074033366,0.9483076444452622,converged
LIB100,0.947,0.233701926359621,31.204797670683586,0.8849889005404421,converged
LIB123,1.115,0.36240401004497563,32.511443276381826,0.9438921438883467,converged
LIB099,1.72,0.28778749251130353,32.895603357090216,0.9422194093787174,converged
LIB019,1.125,0.36543230624529555,33.340449093163386,0.9397159261410082,converged
LIB050,1.039,0.23388561175530465,33.3490373052881,0.9159813071790526,converged
LIB049,0.894,0.2586264831321632,34.529397831020766,0.9294453931445277,converged
LIB125,1.327,0.26219804539742303,34.53517825450715,0.967109251404911,converged
LIB124,1.1,0.2981465486499523,35.348642256868565,0.9611399527286755,converged
LIB106,1.438,0.5657527227206265,38.929845515902265,0.9485877850522186,singular-convergence
LIB076,0.934,0.5965845326418201,45.31528547966665,0.9302468252026866,singular-convergence
CTRL_long,2.01,0.2463211120389293,48.03310004084362,0.8558400410604692,converged
